NumStory,SeismicWeight,Area,LongDim,ShortDim,LongWall,ShortWall,DampingRatio,StoryHeight,X Diff,Z Diff,X 1st Inc,Z 1st Inc
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,52.9565446,30.0536013,,
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,52.470068,29.5523987,,
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,67.559162,23.1690666,,
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,66.846046,23.2913522,,
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,32.4440582,7.9215906,,
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,31.9583982,7.4381956,,
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,37.3474712,4.2190582,,
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,36.638071,3.51061,,
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,4.9877456,65.5285856,,
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,4.278564,64.819446,,
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,5.427399,65.851532,,
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,4.410966,64.834115,,
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,2.1452406,38.4404154,,
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,1.435472,37.738454,,
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,2.38429,38.751281,,
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,1.369747,37.743296,,
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,6.4384492,19.4241745,,
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,6.056235,19.0368362,,
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,7.7117164,7.7674264,,
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,7.111998,7.16805,,
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,-3.2540331,6.4216628,,
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,-3.6360612,6.0340856,,
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,-2.0133246,1.1905902,,
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,-2.610617,0.595099,,
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,4.1299326,19.8184516,,
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,3.420751,19.109312,,
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,3.663154,11.429334,,
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,2.646721,10.411917,,
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,-1.2471744,5.9646174,,
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,-1.956943,5.262656,,
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,-2.149458,3.837326,,
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,-3.164001,2.829341,,
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,52.9565446,30.0536013,,
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,52.470068,29.5523987,,
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,67.559162,23.1690666,,
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,66.846046,23.2913522,,
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,32.4440582,7.9215906,,
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,31.9583982,7.4381956,,
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,37.3474712,4.2190582,,
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,36.638071,3.51061,,
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,4.9877456,65.5285856,,
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,4.278564,64.819446,,
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,5.427399,65.851532,,
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,4.410966,64.834115,,
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,2.1452406,38.4404154,,
3,469.3694583,9000,720,600,10036,7286.25,0.01,9.25,1.435472,37.738454,,
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,2.38429,38.751281,,
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,1.369747,37.743296,,
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,6.4384492,19.4241745,,
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,6.056235,19.0368362,,
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,7.7117164,7.7674264,,
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,7.111998,7.16805,,
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,-3.2540331,6.4216628,,
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,-3.6360612,6.0340856,,
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,-2.0133246,1.1905902,,
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,-2.610617,0.595099,,
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,4.1299326,19.8184516,,
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,3.420751,19.109312,,
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,3.663154,11.429334,,
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,2.646721,10.411917,,
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,-1.2471744,5.9646174,,
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,-1.956943,5.262656,,
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,-2.149458,3.837326,,
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,-3.164001,2.829341,,
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,52.9565446,30.0536013,,
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,52.470068,29.5523987,,
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,67.559162,23.1690666,,
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,66.846046,23.2913522,,
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,32.4440582,7.9215906,,
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,31.9583982,7.4381956,,
2,284.0239584,6000,1200,360,6450.75,4057,0.01,9.25,37.3474712,4.2190582,,
3,467.4762917,9000,1200,360,10498.25,6370.5,0.01,9.25,36.638071,3.51061,,
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,4.9877456,65.5285856,,
3,469.3694583,9000,720,600,10036,7346.25,0.01,9.25,4.278564,64.819446,,
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,5.427399,65.851532,,
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,4.410966,64.834115,,
2,286.8205416,6000,720,600,6177,4857.5,0.01,9.25,2.1452406,38.4404154,,
3,469.3694583,9000,720,600,10036,7346.25,0.01,9.25,1.435472,37.738454,,
2,436.7674167,10000,1200,600,8095,6177,0.01,9.25,2.38429,38.751281,,
3,709.2809167,15000,1200,600,12142.5,10036,0.01,9.25,1.369747,37.743296,,
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,6.4384492,19.4241745,,
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,6.056235,19.0368362,,
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,7.7117164,7.7674264,,
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,7.111998,7.16805,,
2,150.971375,3000,600,360,3784,2527.5,0.01,9.25,-3.2540331,6.4216628,,
3,247.5722917,4500,600,360,5832.75,4054.5,0.01,9.25,-3.6360612,6.0340856,,
2,241.730875,4800,960,360,6146,4631.5,0.01,9.25,-2.0133246,1.1905902,,
3,394.190125,7200,960,360,9383.25,6945,0.01,9.25,-2.610617,0.595099,,
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,4.1299326,19.8184516,,
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,3.420751,19.109312,,
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,3.663154,11.429334,,
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,2.646721,10.411917,,
2,292.2549166,6000,720,600,7220,4695.75,0.01,9.25,-1.2471744,5.9646174,,
3,474.8038333,9000,720,600,11079,7124.5,0.01,9.25,-1.956943,5.262656,,
2,443.629375,10000,1200,600,7924.75,7460,0.01,9.25,-2.149458,3.837326,,
3,716.142875,15000,1200,600,11972.25,11319,0.01,9.25,-3.164001,2.829341,,
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,52.9565446,30.0536013,,
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,52.470068,29.5523987,,
2,284.0239584,6000,720,360,6450.75,4057,0.01,9.25,67.559162,23.1690666,,
3,467.4762917,9000,720,360,10498.25,6370.5,0.01,9.25,66.846046,23.2913522,,
2,184.6054167,3600,720,360,4033.5,3642.25,0.01,9.25,32.4440582,7.9215906,,
3,306.1486667,5400,720,360,6351.5,6071,0.01,9.25,31.9583982,7.4381956,,
2,284.0239584,6000,720,360,6450.75,4057,0.01,9.25,37.3474712,4.2190582,,
3,467.4762917,9000,720,360,10498.25,6370.5,0.01,9.25,36.638071,3.51061,,
2,286.8205416,6000,720,360,6177,4857.5,0.01,9.25,4.9877456,65.5285856,,
3,469.3694583,9000,720,360,10036,7286.25,0.01,9.25,4.278564,64.819446,,
2,436.7674167,10000,720,360,8095,6177,0.01,9.25,5.427399,65.851532,,
3,709.2809167,15000,720,360,12142.5,10036,0.01,9.25,4.410966,64.834115,,
2,286.8205416,6000,720,360,6177,4857.5,0.01,9.25,2.1452406,38.4404154,,
3,469.3694583,9000,720,360,10036,7286.25,0.01,9.25,1.435472,37.738454,,
2,436.7674167,10000,720,360,8095,6177,0.01,9.25,2.38429,38.751281,,
3,709.2809167,15000,720,360,12142.5,10036,0.01,9.25,1.369747,37.743296,,
2,150.971375,3000,720,360,3784,2527.5,0.01,9.25,6.4384492,19.4241745,,
3,247.5722917,4500,720,360,5832.75,4054.5,0.01,9.25,6.056235,19.0368362,,
2,241.730875,4800,720,360,6146,4631.5,0.01,9.25,7.7117164,7.7674264,,
3,394.190125,7200,720,360,9383.25,6945,0.01,9.25,7.111998,7.16805,,
2,150.971375,3000,720,360,3784,2527.5,0.01,9.25,-3.2540331,6.4216628,,
3,247.5722917,4500,720,360,5832.75,4054.5,0.01,9.25,-3.6360612,6.0340856,,
2,241.730875,4800,720,360,6146,4631.5,0.01,9.25,-2.0133246,1.1905902,,
3,394.190125,7200,720,360,9383.25,6945,0.01,9.25,-2.610617,0.595099,,
2,292.2549166,6000,720,360,7220,4695.75,0.01,9.25,4.1299326,19.8184516,,
3,474.8038333,9000,720,360,11079,7124.5,0.01,9.25,3.420751,19.109312,,
2,443.629375,10000,720,360,7924.75,7460,0.01,9.25,3.663154,11.429334,,
3,716.142875,15000,720,360,11972.25,11319,0.01,9.25,2.646721,10.411917,,
2,292.2549166,6000,720,360,7220,4695.75,0.01,9.25,-1.2471744,5.9646174,,
3,474.8038333,9000,720,360,11079,7124.5,0.01,9.25,-1.956943,5.262656,,
2,443.629375,10000,720,360,7924.75,7460,0.01,9.25,-2.149458,3.837326,,
3,716.142875,15000,720,360,11972.25,11319,0.01,9.25,-3.164001,2.829341,,
